Dong,牢备_去牢捞去_Period,牢备_去牢捞去_Autonomous Gu,牢备_去牢捞去_Marriage,牢备_去牢捞去_Divorce
Godeok 2(i)-dong,2013.0,Gangdong-gu,62.0,23.0
Amsa 2(i)-dong,2013.0,Gangdong-gu,131.0,40.0
Amsa 3(sam)-dong,2013.0,Gangdong-gu,84.0,32.0
Cheonho 1(il)-dong,2013.0,Gangdong-gu,314.0,120.0
Cheonho 3(sam)-dong,2013.0,Gangdong-gu,186.0,62.0
Seongnae 1(il)-dong,2013.0,Gangdong-gu,266.0,72.0
Seongnae 2(i)-dong,2013.0,Gangdong-gu,218.0,52.0
Seongnae 3(sam)-dong,2013.0,Gangdong-gu,142.0,22.0
Dunchon 1(il)-dong,2013.0,Gangdong-gu,145.0,43.0
Dunchon 2(i)-dong,2013.0,Gangdong-gu,127.0,39.0
Amsa 1(il)-dong,2013.0,Gangdong-gu,268.0,84.0
Cheonho 2(i)-dong,2013.0,Gangdong-gu,195.0,66.0
Gil-dong,2013.0,Gangdong-gu,410.0,127.0
